location,lat,long,alt,year,bloom_date,bloom_doy
liestal,47.4814,7.730519,350,1965,12/04/1965,107
liestal,47.4814,7.730519,350,1966,8/04/1966,103
liestal,47.4814,7.730519,350,1967,4/04/1967,99
liestal,47.4814,7.730519,350,1968,12/04/1968,108
liestal,47.4814,7.730519,350,1969,23/04/1969,118
liestal,47.4814,7.730519,350,1970,24/04/1970,119
liestal,47.4814,7.730519,350,1971,17/04/1971,112
liestal,47.4814,7.730519,350,1972,6/04/1972,102
liestal,47.4814,7.730519,350,1973,29/04/1973,124
liestal,47.4814,7.730519,350,1974,2/04/1974,97
liestal,47.4814,7.730519,350,1975,18/04/1975,113
liestal,47.4814,7.730519,350,1976,11/04/1976,107
liestal,47.4814,7.730519,350,1977,21/03/1977,85
liestal,47.4814,7.730519,350,1978,18/04/1978,113
liestal,47.4814,7.730519,350,1979,15/04/1979,110
liestal,47.4814,7.730519,350,1980,13/04/1980,109
liestal,47.4814,7.730519,350,1981,2/04/1981,97
liestal,47.4814,7.730519,350,1982,18/04/1982,113
liestal,47.4814,7.730519,350,1983,11/04/1983,106
liestal,47.4814,7.730519,350,1984,19/04/1984,115
liestal,47.4814,7.730519,350,1985,16/04/1985,111
liestal,47.4814,7.730519,350,1986,1/05/1986,126
liestal,47.4814,7.730519,350,1987,22/04/1987,117
liestal,47.4814,7.730519,350,1988,17/04/1988,113
liestal,47.4814,7.730519,350,1989,28/03/1989,92
liestal,47.4814,7.730519,350,1990,16/03/1990,80
liestal,47.4814,7.730519,350,1991,4/04/1991,99
liestal,47.4814,7.730519,350,1992,11/04/1992,107
liestal,47.4814,7.730519,350,1993,11/04/1993,106
liestal,47.4814,7.730519,350,1994,23/03/1994,87
liestal,47.4814,7.730519,350,1995,3/04/1995,98
liestal,47.4814,7.730519,350,1996,18/04/1996,114
liestal,47.4814,7.730519,350,1997,22/03/1997,86
liestal,47.4814,7.730519,350,1998,31/03/1998,95
liestal,47.4814,7.730519,350,1999,4/04/1999,99
liestal,47.4814,7.730519,350,2000,1/04/2000,97
liestal,47.4814,7.730519,350,2001,30/03/2001,94
liestal,47.4814,7.730519,350,2002,18/03/2002,82
liestal,47.4814,7.730519,350,2003,2/04/2003,97
liestal,47.4814,7.730519,350,2004,1/04/2004,97
liestal,47.4814,7.730519,350,2005,5/04/2005,100
liestal,47.4814,7.730519,350,2006,21/04/2006,116
liestal,47.4814,7.730519,350,2007,4/04/2007,99
liestal,47.4814,7.730519,350,2008,29/03/2008,94
liestal,47.4814,7.730519,350,2009,10/04/2009,105
liestal,47.4814,7.730519,350,2010,8/04/2010,103
liestal,47.4814,7.730519,350,2011,31/03/2011,95
liestal,47.4814,7.730519,350,2012,2/04/2012,98
liestal,47.4814,7.730519,350,2013,17/04/2013,112
liestal,47.4814,7.730519,350,2014,25/03/2014,89
liestal,47.4814,7.730519,350,2015,11/04/2015,106
liestal,47.4814,7.730519,350,2016,6/04/2016,102
liestal,47.4814,7.730519,350,2017,26/03/2017,90
liestal,47.4814,7.730519,350,2018,8/04/2018,103
liestal,47.4814,7.730519,350,2019,27/03/2019,91
liestal,47.4814,7.730519,350,2020,17/03/2020,82
liestal,47.4814,7.730519,350,2021,28/03/2021,92
liestal,47.4814,7.730519,350,2022,26/03/2022,85
liestal,47.4814,7.730519,350,2023,29/03/2023,88
