location,lat,long,alt,year,bloom_date,bloom_doy
washingtondc,38.8853496,-77.0386278,0,1983,7/04/1983,98
washingtondc,38.8853496,-77.0386278,0,1984,3/04/1984,95
washingtondc,38.8853496,-77.0386278,0,1985,7/04/1985,98
washingtondc,38.8853496,-77.0386278,0,1986,2/04/1986,93
washingtondc,38.8853496,-77.0386278,0,1987,28/03/1987,88
washingtondc,38.8853496,-77.0386278,0,1988,31/03/1988,92
washingtondc,38.8853496,-77.0386278,0,1989,29/03/1989,89
washingtondc,38.8853496,-77.0386278,0,1990,15/03/1990,75
washingtondc,38.8853496,-77.0386278,0,1991,29/03/1991,89
washingtondc,38.8853496,-77.0386278,0,1992,7/04/1992,99
washingtondc,38.8853496,-77.0386278,0,1993,11/04/1993,102
washingtondc,38.8853496,-77.0386278,0,1994,5/04/1994,96
washingtondc,38.8853496,-77.0386278,0,1995,2/04/1995,93
washingtondc,38.8853496,-77.0386278,0,1996,4/04/1996,96
washingtondc,38.8853496,-77.0386278,0,1997,26/03/1997,86
washingtondc,38.8853496,-77.0386278,0,1998,27/03/1998,87
washingtondc,38.8853496,-77.0386278,0,1999,5/04/1999,96
washingtondc,38.8853496,-77.0386278,0,2000,17/03/2000,78
washingtondc,38.8853496,-77.0386278,0,2001,6/04/2001,97
washingtondc,38.8853496,-77.0386278,0,2002,2/04/2002,93
washingtondc,38.8853496,-77.0386278,0,2003,2/04/2003,93
washingtondc,38.8853496,-77.0386278,0,2004,31/03/2004,92
washingtondc,38.8853496,-77.0386278,0,2005,9/04/2005,100
washingtondc,38.8853496,-77.0386278,0,2006,30/03/2006,90
washingtondc,38.8853496,-77.0386278,0,2007,1/04/2007,92
washingtondc,38.8853496,-77.0386278,0,2008,26/03/2008,87
washingtondc,38.8853496,-77.0386278,0,2009,1/04/2009,92
washingtondc,38.8853496,-77.0386278,0,2010,31/03/2010,91
washingtondc,38.8853496,-77.0386278,0,2011,29/03/2011,89
washingtondc,38.8853496,-77.0386278,0,2012,20/03/2012,81
washingtondc,38.8853496,-77.0386278,0,2013,9/04/2013,100
washingtondc,38.8853496,-77.0386278,0,2014,10/04/2014,101
washingtondc,38.8853496,-77.0386278,0,2015,10/04/2015,101
washingtondc,38.8853496,-77.0386278,0,2016,25/03/2016,86
washingtondc,38.8853496,-77.0386278,0,2017,25/03/2017,85
washingtondc,38.8853496,-77.0386278,0,2018,5/04/2018,96
washingtondc,38.8853496,-77.0386278,0,2019,1/04/2019,92
washingtondc,38.8853496,-77.0386278,0,2020,20/03/2020,81
washingtondc,38.8853496,-77.0386278,0,2021,28/03/2021,88
washingtondc,38.8853496,-77.0386278,0,2022,21/03/2022,80
washingtondc,38.8853496,-77.0386278,0,2023,23/03/2023,82
washingtondc,38.8853496,-77.0386278,0,2022,21/03/2022,80
washingtondc,38.8853496,-77.0386278,0,2023,23/03/2023,82
