location,lat,long,alt,year,bloom_date,bloom_doy,month,meantemp,Jan_max,tmin1,precip1,Feb_max,tmin2,precip2,latdata,longdata,altdata,datasource
liestal,47.4814,7.730519,350,2000,1/04/2000,97,2,5.2,NA,NA,20,NA,NA,80,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2001,30/03/2001,94,2,4,NA,NA,81,NA,NA,22,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2002,18/03/2002,82,2,6.7,NA,NA,15,NA,NA,85,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2003,2/04/2003,97,2,-0.3,NA,NA,54,NA,NA,24,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2004,1/04/2004,97,2,2.7,5,-0.8,123,7.6,-1.3,25,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2005,5/04/2005,100,2,0.6,6.1,-1.9,23,4.1,-1.9,23,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2006,21/04/2006,116,2,0.8,2.2,-5,11,4.1,-2,49,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2007,4/04/2007,99,2,6.1,8.6,2.6,44,11.2,2,67,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2008,29/03/2008,94,2,3.8,8.3,0.3,51,10.5,-1.5,17,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2009,10/04/2009,105,2,1.6,2.6,-4.2,18,5.7,-1.6,51,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2010,8/04/2010,103,2,2.2,1.7,-3.1,37,5.8,-0.9,63,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2011,31/03/2011,95,2,3.7,5.4,-0.4,35,7.9,0.5,25,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2012,2/04/2012,98,2,-2.6,6.4,1,50,2.3,-6.9,7,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2013,17/04/2013,112,2,0.4,4.2,-0.8,36,3.6,-2.3,63,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2014,25/03/2014,89,2,5.7,8.2,1.3,52,10.3,2.2,62,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2015,11/04/2015,106,2,1.6,6.3,0.4,67,5.8,-1.5,26,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2016,6/04/2016,102,2,5.1,7.1,1,132,8.4,2.3,84,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2017,26/03/2017,90,2,5.3,1.3,-4.8,37,10.1,1.4,58,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2018,8/04/2018,103,2,0.3,9.7,3.4,94,3.2,-2,32,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2019,27/03/2019,91,2,4.6,4.6,-0.7,18,11.9,-0.9,29,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2020,17/03/2020,82,2,7.5,8.3,-0.4,22,12.3,3.3,67,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,2021,28/03/2021,92,2,4.7,4.8,-0.6,94,10.3,0.1,28,47.6,7.5,270,bale_mulhouse
washingtondc,38.8853496,-77.0386278,0,1983,7/04/1983,98,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1984,3/04/1984,95,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1985,7/04/1985,98,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1986,2/04/1986,93,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1987,28/03/1987,88,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1988,31/03/1988,92,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1989,29/03/1989,89,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1990,15/03/1990,75,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1991,29/03/1991,89,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1992,7/04/1992,99,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1993,11/04/1993,102,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1994,5/04/1994,96,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1995,2/04/1995,93,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1996,4/04/1996,96,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1997,26/03/1997,86,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1998,27/03/1998,87,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,1999,5/04/1999,96,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2000,17/03/2000,78,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2001,6/04/2001,97,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2002,2/04/2002,93,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2003,2/04/2003,93,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2004,31/03/2004,92,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2005,9/04/2005,100,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2006,30/03/2006,90,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2007,1/04/2007,92,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2008,26/03/2008,87,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2009,1/04/2009,92,1,NA,NA,NA,NA,NA,NA,NA,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2010,31/03/2010,91,1,0.8,5.3,-3.7,49,3.7,-4.8,62,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2011,29/03/2011,89,1,-1.1,3.3,-5.4,48,9.3,-2.4,56,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2012,20/03/2012,81,1,3.2,8.8,-2.3,47,10.6,-0.6,57,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2013,9/04/2013,100,1,3,7.8,-1.8,94,6.2,-2.5,41,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2014,10/04/2014,101,1,-2.6,2.7,-8,68,5.3,-4.9,97,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2015,10/04/2015,101,1,-1.2,3.4,-5.8,83,2.1,-9.3,45,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2016,25/03/2016,86,1,-0.2,5.3,-5.8,114,7.6,-2,96,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2017,25/03/2017,85,1,4.1,8.2,0.1,70,13.8,0.5,18,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2018,5/04/2018,96,1,0.3,6.3,-5.8,45,11.1,0.6,117,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2019,1/04/2019,92,1,0.3,5.1,-4.5,101,8.6,-1.6,89,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2020,20/03/2020,81,1,3.9,8.7,-0.9,85,10.7,-0.2,82,38.95,77.45,95,dullesINT
washingtondc,38.8853496,-77.0386278,0,2021,28/03/2021,88,1,2,6.5,-2.5,48,5.9,-2,109,38.95,77.45,95,dullesINT
Wakkanai,45.415,141.6788889,2.85,2004,12/05/2004,133,1,-3.9,-2.2,-5.8,91,-0.8,-5.5,114,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2005,28/05/2005,148,1,-4.6,-2.6,-6.6,87,-3.7,-8.1,55,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2006,20/05/2006,140,1,-5.5,-3.6,-7.7,70,-2.1,-7.3,71,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2007,17/05/2007,137,1,-3.7,-1.9,-6,35,-0.6,-5.9,71,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2008,5/05/2008,126,1,-6,-4.1,-8.1,78,-2.4,-7.7,40,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2009,12/05/2009,132,1,-2.4,-0.5,-4.4,71,-1.9,-6.7,147,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2010,25/05/2010,145,1,-3.4,-1.2,-6.1,76,-2.8,-7.5,110,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2011,25/05/2011,145,1,-5.1,-3.5,-6.8,65,0,-4.9,40,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2012,18/05/2012,139,1,-5.4,-3.6,-7.4,80,-4.1,-8.7,77,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2013,28/05/2013,148,1,-5.8,-4.1,-7.4,124,-3,-7.6,49,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2014,13/05/2014,133,1,-5.3,-2.9,-7.7,105,-2,-6.5,44,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2015,6/05/2015,126,1,-2.9,-1.1,-5,56,0.2,-4,49,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2016,15/05/2016,136,1,-5.2,-3.5,-6.8,119,-2.5,-7.2,116,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2017,11/05/2017,131,1,-4.3,-2.4,-6.4,47,-0.9,-5.6,38,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2018,15/05/2018,135,1,-3.6,-1.6,-5.6,122,-3,-7.6,75,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2019,9/05/2019,129,1,-4.1,-2,-6.3,56,-2.3,-7.1,47,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2020,12/05/2020,133,1,-3.7,-1.8,-6.1,35,-2.2,-6.5,40,45.4,141.67,2,Wakkanai
Wakkanai,45.415,141.6788889,2.85,2021,11/05/2021,131,1,-6,-3.8,-8.3,102,-1.5,-5.9,112,45.4,141.67,2,Wakkanai
Asahikawa,43.75694444,142.3722222,119.8,2004,9/05/2004,130,1,-6.6,-2.8,-11.4,60,-0.3,-9.2,114,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2005,17/05/2005,137,1,-7.7,-3.7,-13,60,-3.3,-12.3,50,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2006,12/05/2006,132,1,-8.5,-4.8,-12.8,60,-1.7,-11,74,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2007,8/05/2007,128,1,-5.6,-2,-9.9,75,-0.3,-10.6,47,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2008,26/04/2008,117,1,-8.4,-4.7,-13.3,36,-2.2,-13.7,51,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2009,4/05/2009,124,1,-5.2,-1.4,-9.8,50,-1.7,-9.8,70,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2010,13/05/2010,133,1,-5.1,-1.7,-9,79,-1.7,-11.6,39,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2011,12/05/2011,132,1,-7.8,-4.5,-11.8,83,0.4,-10.6,49,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2012,2/05/2012,123,1,-9.4,-5.1,-14.8,46,-4.1,-13.3,79,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2013,20/05/2013,140,1,-9.3,-5.2,-14.1,47,-2.7,-12.1,48,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2014,4/05/2014,124,1,-7.9,-4,-12.6,134,-2.2,-11.6,34,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2015,28/04/2015,118,1,-5.1,-1.5,-9.1,57,0.1,-8.4,21,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2016,4/05/2016,125,1,-6.6,-3.5,-10.1,55,-1.5,-9.8,95,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2017,5/05/2017,125,1,-7.9,-4,-12.6,36,-1.1,-9.9,45,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2018,1/05/2018,121,1,-5.8,-2.3,-9.8,76,-3,-12.7,62,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2019,4/05/2019,124,1,-6.8,-2.9,-11.4,69,-1.8,-10.1,76,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2020,4/05/2020,125,1,-6.9,-3,-11.7,40,-1.3,-11,49,43.75,142.37,119,Asahikawa
Asahikawa,43.75694444,142.3722222,119.8,2021,3/05/2021,123,1,-8.2,-3.9,-13.2,68,-1.2,-9.5,108,43.75,142.37,119,Asahikawa
Abashiri,44.01777778,144.2797222,37.58,2004,13/05/2004,134,1,-4.1,-1.4,-7.7,119,-0.5,-7.9,84,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2005,25/05/2005,145,1,-5.2,-2.2,-9.2,60,-3.6,-10.4,36,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2006,17/05/2006,137,1,-6,-3.1,-10,69,-1.3,-9.5,32,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2007,16/05/2007,136,1,-4.6,-1.7,-8.3,39,-0.2,-8.3,41,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2008,5/05/2008,126,1,-6.8,-3.4,-10.9,39,-2.6,-10.4,46,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2009,7/05/2009,127,1,-2.8,0,-6.6,37,-0.9,-9.1,47,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2010,18/05/2010,138,1,-3.9,-0.8,-7.6,64,-1.8,-9.3,32,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2011,18/05/2011,138,1,-6.3,-3.5,-10,47,0,-8.5,49,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2012,5/05/2012,126,1,-6.2,-3.4,-10,60,-4.1,-11.9,24,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2013,27/05/2013,147,1,-7.2,-4.3,-11.1,66,-2.8,-9.9,39,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2014,11/05/2014,131,1,-6,-2.7,-10.7,52,-2,-9.1,72,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2015,3/05/2015,123,1,-3.9,-1.1,-7.5,75,-0.5,-6.3,70,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2016,10/05/2016,131,1,-5.5,-2.6,-9.1,78,-1.4,-9.5,48,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2017,7/05/2017,127,1,-5.2,-2.6,-8.6,34,-1.4,-8,46,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2018,6/05/2018,126,1,-4.1,-1.4,-7.5,42,-2.9,-11.3,33,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2019,7/05/2019,127,1,-5.3,-2.3,-9.1,50,-2.1,-9.9,11,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2020,9/05/2020,130,1,-4.4,-1.6,-7.8,37,-2.3,-9.6,39,44.02,144.27,37,Abashiri
Abashiri,44.01777778,144.2797222,37.58,2021,7/05/2021,127,1,-6.3,-2.7,-10.9,49,-0.8,-9.4,40,44.02,144.27,37,Abashiri
Sapporo,43.06,141.3286111,17.45,2004,9/05/2004,130,1,-2.5,0.4,-5.8,139,1.7,-4.7,159,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2005,16/05/2005,136,1,-3.5,-0.6,-7.1,154,-1.2,-7.3,121,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2006,12/05/2006,132,1,-4.1,-1.5,-6.8,132,0.5,-6.2,89,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2007,8/05/2007,128,1,-1.8,0.8,-4.7,112,1.8,-5.2,112,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2008,25/04/2008,116,1,-4.3,-1.8,-6.9,111,0,-7.5,111,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2009,4/05/2009,124,1,-1.3,1.7,-4.5,103,0.8,-5.6,143,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2010,14/05/2010,134,1,-2,0.7,-4.9,112,-0.3,-6.3,60,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2011,12/05/2011,132,1,-3.8,-1.2,-6.7,120,2.4,-4.5,70,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2012,2/05/2012,123,1,-4.5,-1.6,-7.6,72,-1.3,-7.8,57,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2013,17/05/2013,137,1,-4.7,-2,-8,102,-0.9,-7.8,117,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2014,1/05/2014,121,1,-4.1,-1,-7.4,112,-0.3,-7,89,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2015,26/04/2015,116,1,-1.5,1.2,-4.6,144,1.9,-3.6,60,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2016,1/05/2016,122,1,-3.5,-1.3,-5.9,74,0.7,-5.5,110,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2017,3/05/2017,123,1,-3.9,-1.1,-7,73,1,-5.3,58,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2018,29/04/2018,119,1,-2.6,0,-5.5,100,-1,-7.6,43,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2019,29/04/2019,119,1,-3,-0.2,-5.9,86,0.3,-5.7,33,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2020,2/05/2020,123,1,-2.3,0.4,-5.3,52,0.8,-5.2,157,43.05,141.32,17,Sapporo
Sapporo,43.06,141.3286111,17.45,2021,27/04/2021,117,1,-4.4,-1.2,-8.2,91,1.4,-5.6,79,43.05,141.32,17,Sapporo
Kushiro,42.98583333,144.3777778,4.5,2004,19/05/2004,140,1,-3.9,0.2,-8.6,102,1.1,-8,49,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2004,19/05/2004,140,1,-3.9,0.2,-8.6,102,1.1,-8,49,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2005,26/05/2005,146,1,-4.3,0.2,-10,12,-0.8,-9.9,27,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2005,26/05/2005,146,1,-4.3,0.2,-10,12,-0.8,-9.9,27,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2006,21/05/2006,141,1,-5.9,-1.1,-11.8,30,0.3,-8.5,16,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2006,21/05/2006,141,1,-5.9,-1.1,-11.8,30,0.3,-8.5,16,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2007,20/05/2007,140,1,-4,0.8,-8.8,43,0.8,-8.3,32,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2007,20/05/2007,140,1,-4,0.8,-8.8,43,0.8,-8.3,32,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2008,19/05/2008,140,1,-6.4,-1.4,-12.1,8,0,-9.6,9,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2008,19/05/2008,140,1,-6.4,-1.4,-12.1,8,0,-9.6,9,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2009,14/05/2009,134,1,-2.1,1.6,-6.7,57,0.2,-9.3,57,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2009,14/05/2009,134,1,-2.1,1.6,-6.7,57,0.2,-9.3,57,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2010,22/05/2010,142,1,-3.6,0.6,-9.2,31,-0.5,-9.6,5,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2010,22/05/2010,142,1,-3.6,0.6,-9.2,31,-0.5,-9.6,5,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2011,21/05/2011,141,1,-5.6,-1.1,-10.4,4,1.1,-7.9,12,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2011,21/05/2011,141,1,-5.6,-1.1,-10.4,4,1.1,-7.9,12,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2012,20/05/2012,141,1,-5.8,-1.2,-11.1,49,-1.8,-12.2,11,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2012,20/05/2012,141,1,-5.8,-1.2,-11.1,49,-1.8,-12.2,11,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2013,25/05/2013,145,1,-6.9,-1.9,-12.7,15,-0.7,-10.2,21,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2013,25/05/2013,145,1,-6.9,-1.9,-12.7,15,-0.7,-10.2,21,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2014,14/05/2014,134,1,-4.9,0.2,-11,27,0,-9.2,34,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2014,14/05/2014,134,1,-4.9,0.2,-11,27,0,-9.2,34,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2015,8/05/2015,128,1,-3.3,0.7,-8,37,0.9,-5.8,77,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2015,8/05/2015,128,1,-3.3,0.7,-8,37,0.9,-5.8,77,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2016,13/05/2016,134,1,-4.4,-0.1,-10,33,0.6,-9.5,52,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2016,13/05/2016,134,1,-4.4,-0.1,-10,33,0.6,-9.5,52,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2017,18/05/2017,138,1,-5.8,-1.1,-11.1,26,0.3,-8.1,13,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2017,18/05/2017,138,1,-5.8,-1.1,-11.1,26,0.3,-8.1,13,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2018,14/05/2018,134,1,-3.2,0.7,-7.7,13,-0.5,-10.4,13,42.98,144.38,4,Kushiro
Kushiro,42.95305556,144.4375,14.05,2018,14/05/2018,134,1,-3.2,0.7,-7.7,13,-0.5,-10.4,13,42.98,144.38,4,Kushiro
Kushiro,42.98583333,144.3777778,4.5,2019,13/05/2019,133,1,-5,0,-10.7,18,-0.3,-10.5,18,42.98,144.38,4,Kushiro
